task,target_day,business_day,ds,hour_business,period,y_true,actual_available_at,source_file
dayahead,2026-01-28,2026-01-28,2026-01-28 22:00:00,22,17_24,396.0,2026-06-27T03:08:21.639921+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-28,2026-01-28,2026-01-28 23:00:00,23,17_24,370.0,2026-06-27T03:08:21.639921+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-28,2026-01-28,2026-01-29 00:00:00,24,17_24,360.0,2026-06-27T03:08:21.639921+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-28,2026-01-28,2026-01-28 20:00:00,20,17_24,408.75,2026-06-27T03:08:21.639921+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-28,2026-01-28,2026-01-28 13:00:00,13,9_16,81.0,2026-06-27T03:08:21.639921+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-28,2026-01-28,2026-01-28 18:00:00,18,17_24,503.38,2026-06-27T03:08:21.639921+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-28,2026-01-28,2026-01-28 11:00:00,11,9_16,308.96,2026-06-27T03:08:21.639921+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-28,2026-01-28,2026-01-28 01:00:00,1,1_8,322.662,2026-06-27T03:08:21.639921+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-28,2026-01-28,2026-01-28 02:00:00,2,1_8,319.0,2026-06-27T03:08:21.639921+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-28,2026-01-28,2026-01-28 03:00:00,3,1_8,329.0,2026-06-27T03:08:21.639921+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-28,2026-01-28,2026-01-28 04:00:00,4,1_8,328.5,2026-06-27T03:08:21.639921+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-28,2026-01-28,2026-01-28 05:00:00,5,1_8,335.0,2026-06-27T03:08:21.639921+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-28,2026-01-28,2026-01-28 12:00:00,12,9_16,231.75,2026-06-27T03:08:21.639921+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-28,2026-01-28,2026-01-28 07:00:00,7,1_8,338.125,2026-06-27T03:08:21.639921+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-28,2026-01-28,2026-01-28 08:00:00,8,1_8,385.0,2026-06-27T03:08:21.639921+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-28,2026-01-28,2026-01-28 09:00:00,9,9_16,443.025,2026-06-27T03:08:21.639921+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-28,2026-01-28,2026-01-28 10:00:00,10,9_16,370.0,2026-06-27T03:08:21.639921+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-28,2026-01-28,2026-01-28 06:00:00,6,1_8,327.5,2026-06-27T03:08:21.639921+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-29,2026-01-29,2026-01-29 16:00:00,16,9_16,380.0,2026-06-27T03:17:18.201865+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-29,2026-01-29,2026-01-29 15:00:00,15,9_16,360.0,2026-06-27T03:17:18.201865+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-29,2026-01-29,2026-01-29 17:00:00,17,17_24,400.0,2026-06-27T03:17:18.201865+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-29,2026-01-29,2026-01-29 18:00:00,18,17_24,414.55,2026-06-27T03:17:18.201865+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-29,2026-01-29,2026-01-29 19:00:00,19,17_24,378.45,2026-06-27T03:17:18.201865+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-29,2026-01-29,2026-01-29 21:00:00,21,17_24,364.0,2026-06-27T03:17:18.201865+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-29,2026-01-29,2026-01-29 14:00:00,14,9_16,360.0,2026-06-27T03:17:18.201865+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-29,2026-01-29,2026-01-29 22:00:00,22,17_24,368.0,2026-06-27T03:17:18.201865+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-29,2026-01-29,2026-01-29 23:00:00,23,17_24,325.0,2026-06-27T03:17:18.201865+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-29,2026-01-29,2026-01-30 00:00:00,24,17_24,323.5,2026-06-27T03:17:18.201865+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-29,2026-01-29,2026-01-29 20:00:00,20,17_24,370.0,2026-06-27T03:17:18.201865+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-29,2026-01-29,2026-01-29 13:00:00,13,9_16,382.0,2026-06-27T03:17:18.201865+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-29,2026-01-29,2026-01-29 12:00:00,12,9_16,390.0,2026-06-27T03:17:18.201865+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-29,2026-01-29,2026-01-29 11:00:00,11,9_16,426.25,2026-06-27T03:17:18.201865+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-29,2026-01-29,2026-01-29 10:00:00,10,9_16,500.0,2026-06-27T03:17:18.201865+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-29,2026-01-29,2026-01-29 09:00:00,9,9_16,461.11,2026-06-27T03:17:18.201865+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-29,2026-01-29,2026-01-29 08:00:00,8,1_8,345.0,2026-06-27T03:17:18.201865+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-29,2026-01-29,2026-01-29 07:00:00,7,1_8,291.0,2026-06-27T03:17:18.201865+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-29,2026-01-29,2026-01-29 06:00:00,6,1_8,315.0,2026-06-27T03:17:18.201865+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-29,2026-01-29,2026-01-29 05:00:00,5,1_8,315.85,2026-06-27T03:17:18.201865+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-29,2026-01-29,2026-01-29 04:00:00,4,1_8,318.24,2026-06-27T03:17:18.201865+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-29,2026-01-29,2026-01-29 03:00:00,3,1_8,318.4,2026-06-27T03:17:18.201865+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-29,2026-01-29,2026-01-29 02:00:00,2,1_8,328.0,2026-06-27T03:17:18.201865+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-29,2026-01-29,2026-01-29 01:00:00,1,1_8,328.0,2026-06-27T03:17:18.201865+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-30,2026-01-30,2026-01-30 14:00:00,14,9_16,392.725,2026-06-27T03:26:16.377513+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-30,2026-01-30,2026-01-30 15:00:00,15,9_16,417.68,2026-06-27T03:26:16.377513+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-30,2026-01-30,2026-01-30 16:00:00,16,9_16,417.02,2026-06-27T03:26:16.377513+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-30,2026-01-30,2026-01-30 17:00:00,17,17_24,435.79,2026-06-27T03:26:16.377513+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-30,2026-01-30,2026-01-30 18:00:00,18,17_24,467.08,2026-06-27T03:26:16.377513+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-30,2026-01-30,2026-01-30 23:00:00,23,17_24,397.5,2026-06-27T03:26:16.377513+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-30,2026-01-30,2026-01-30 20:00:00,20,17_24,433.34,2026-06-27T03:26:16.377513+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-30,2026-01-30,2026-01-30 21:00:00,21,17_24,422.31,2026-06-27T03:26:16.377513+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-30,2026-01-30,2026-01-30 22:00:00,22,17_24,406.86,2026-06-27T03:26:16.377513+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-30,2026-01-30,2026-01-30 13:00:00,13,9_16,436.84,2026-06-27T03:26:16.377513+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-30,2026-01-30,2026-01-30 19:00:00,19,17_24,440.5,2026-06-27T03:26:16.377513+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-30,2026-01-30,2026-01-31 00:00:00,24,17_24,390.0,2026-06-27T03:26:16.377513+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-30,2026-01-30,2026-01-30 12:00:00,12,9_16,500.0,2026-06-27T03:26:16.377513+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-30,2026-01-30,2026-01-30 10:00:00,10,9_16,523.0,2026-06-27T03:26:16.377513+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-30,2026-01-30,2026-01-30 01:00:00,1,1_8,324.375,2026-06-27T03:26:16.377513+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-30,2026-01-30,2026-01-30 02:00:00,2,1_8,315.625,2026-06-27T03:26:16.377513+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-30,2026-01-30,2026-01-30 03:00:00,3,1_8,347.16,2026-06-27T03:26:16.377513+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-30,2026-01-30,2026-01-30 04:00:00,4,1_8,324.0,2026-06-27T03:26:16.377513+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-30,2026-01-30,2026-01-30 11:00:00,11,9_16,500.0,2026-06-27T03:26:16.377513+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-30,2026-01-30,2026-01-30 06:00:00,6,1_8,325.5,2026-06-27T03:26:16.377513+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-30,2026-01-30,2026-01-30 07:00:00,7,1_8,360.0,2026-06-27T03:26:16.377513+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-30,2026-01-30,2026-01-30 08:00:00,8,1_8,364.976,2026-06-27T03:26:16.377513+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-30,2026-01-30,2026-01-30 09:00:00,9,9_16,637.5,2026-06-27T03:26:16.377513+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-30,2026-01-30,2026-01-30 05:00:00,5,1_8,345.84,2026-06-27T03:26:16.377513+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-31,2026-01-31,2026-01-31 14:00:00,14,9_16,239.15,2026-06-27T03:35:28.399994+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-31,2026-01-31,2026-01-31 15:00:00,15,9_16,242.5,2026-06-27T03:35:28.399994+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-31,2026-01-31,2026-01-31 16:00:00,16,9_16,291.875,2026-06-27T03:35:28.399994+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-31,2026-01-31,2026-01-31 17:00:00,17,17_24,395.35,2026-06-27T03:35:28.399994+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-31,2026-01-31,2026-01-31 18:00:00,18,17_24,416.07,2026-06-27T03:35:28.399994+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-31,2026-01-31,2026-01-31 20:00:00,20,17_24,400.0,2026-06-27T03:35:28.399994+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-31,2026-01-31,2026-01-31 21:00:00,21,17_24,403.18,2026-06-27T03:35:28.399994+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-31,2026-01-31,2026-01-31 22:00:00,22,17_24,394.34,2026-06-27T03:35:28.399994+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-31,2026-01-31,2026-01-31 13:00:00,13,9_16,220.473,2026-06-27T03:35:28.399994+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-31,2026-01-31,2026-02-01 00:00:00,24,17_24,368.05,2026-06-27T03:35:28.399994+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-31,2026-01-31,2026-01-31 19:00:00,19,17_24,406.83,2026-06-27T03:35:28.399994+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-31,2026-01-31,2026-01-31 23:00:00,23,17_24,380.0,2026-06-27T03:35:28.399994+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-31,2026-01-31,2026-01-31 12:00:00,12,9_16,314.3,2026-06-27T03:35:28.399994+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-31,2026-01-31,2026-01-31 10:00:00,10,9_16,366.388,2026-06-27T03:35:28.399994+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-31,2026-01-31,2026-01-31 09:00:00,9,9_16,396.5,2026-06-27T03:35:28.399994+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-31,2026-01-31,2026-01-31 08:00:00,8,1_8,366.6,2026-06-27T03:35:28.399994+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-31,2026-01-31,2026-01-31 07:00:00,7,1_8,357.5,2026-06-27T03:35:28.399994+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-31,2026-01-31,2026-01-31 06:00:00,6,1_8,327.0,2026-06-27T03:35:28.399994+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-31,2026-01-31,2026-01-31 05:00:00,5,1_8,350.0,2026-06-27T03:35:28.399994+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-31,2026-01-31,2026-01-31 04:00:00,4,1_8,345.875,2026-06-27T03:35:28.399994+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-31,2026-01-31,2026-01-31 03:00:00,3,1_8,350.0,2026-06-27T03:35:28.399994+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-31,2026-01-31,2026-01-31 02:00:00,2,1_8,371.5,2026-06-27T03:35:28.399994+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-31,2026-01-31,2026-01-31 01:00:00,1,1_8,377.5,2026-06-27T03:35:28.399994+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-31,2026-01-31,2026-01-31 11:00:00,11,9_16,380.0,2026-06-27T03:35:28.399994+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-02-01,2026-02-01,2026-02-01 15:00:00,15,9_16,0.0,2026-06-27T03:46:21.533221+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-02-01,2026-02-01,2026-02-01 16:00:00,16,9_16,151.0,2026-06-27T03:46:21.533221+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-02-01,2026-02-01,2026-02-01 17:00:00,17,17_24,392.643,2026-06-27T03:46:21.533221+00:00,data/shandong_pmos_hourly.xlsx
