task,model_name,target_day,business_day,ds,hour_business,period,y_pred,y_true,age_days,day_gate
realtime,timesfm,2026-01-27,2026-01-27,2026-01-27 15:00:00,15,9_16,175.80429,293.262,29,0.3137931034482759
realtime,timesfm,2026-01-27,2026-01-27,2026-01-27 11:00:00,11,9_16,94.27276,244.008,29,0.3137931034482759
realtime,timesfm,2026-01-27,2026-01-27,2026-01-27 13:00:00,13,9_16,-10.723755,-6.38,29,0.3137931034482759
realtime,timesfm,2026-01-27,2026-01-27,2026-01-27 12:00:00,12,9_16,38.67206,103.769,29,0.3137931034482759
realtime,timesfm,2026-01-27,2026-01-27,2026-01-28 00:00:00,24,17_24,349.59244,328.505,29,0.3137931034482759
realtime,timesfm,2026-01-27,2026-01-27,2026-01-27 10:00:00,10,9_16,168.94595,276.831,29,0.3137931034482759
realtime,timesfm,2026-01-27,2026-01-27,2026-01-27 09:00:00,9,9_16,314.22775,461.351,29,0.3137931034482759
realtime,timesfm,2026-01-27,2026-01-27,2026-01-27 08:00:00,8,1_8,332.8237,362.605,29,0.3137931034482759
realtime,timesfm,2026-01-27,2026-01-27,2026-01-27 07:00:00,7,1_8,296.99902,324.288,29,0.3137931034482759
realtime,timesfm,2026-01-27,2026-01-27,2026-01-27 06:00:00,6,1_8,296.20312,325.141,29,0.3137931034482759
realtime,timesfm,2026-01-27,2026-01-27,2026-01-27 04:00:00,4,1_8,296.39642,328.429,29,0.3137931034482759
realtime,timesfm,2026-01-27,2026-01-27,2026-01-27 02:00:00,2,1_8,299.8467,322.468,29,0.3137931034482759
realtime,timesfm,2026-01-27,2026-01-27,2026-01-27 05:00:00,5,1_8,293.6356,328.237,29,0.3137931034482759
realtime,sgdfnet,2026-01-27,2026-01-27,2026-01-27 10:00:00,10,9_16,262.3674145379787,276.831,29,0.3137931034482759
realtime,rt916,2026-01-27,2026-01-27,2026-01-28 00:00:00,24,17_24,403.24323,328.505,29,0.3137931034482759
realtime,rt916,2026-01-27,2026-01-27,2026-01-27 22:00:00,22,17_24,413.40213,368.057,29,0.3137931034482759
realtime,rt916,2026-01-27,2026-01-27,2026-01-27 20:00:00,20,17_24,428.12454,382.194,29,0.3137931034482759
realtime,rt916,2026-01-27,2026-01-27,2026-01-27 19:00:00,19,17_24,455.3211,369.22,29,0.3137931034482759
realtime,rt916,2026-01-27,2026-01-27,2026-01-27 18:00:00,18,17_24,461.52237,362.823,29,0.3137931034482759
realtime,rt916,2026-01-27,2026-01-27,2026-01-27 17:00:00,17,17_24,408.02866,396.675,29,0.3137931034482759
realtime,rt916,2026-01-27,2026-01-27,2026-01-27 16:00:00,16,9_16,330.78824,355.313,29,0.3137931034482759
realtime,rt916,2026-01-27,2026-01-27,2026-01-27 15:00:00,15,9_16,217.31548,293.262,29,0.3137931034482759
realtime,rt916,2026-01-27,2026-01-27,2026-01-27 13:00:00,13,9_16,54.050972,-6.38,29,0.3137931034482759
realtime,rt916,2026-01-27,2026-01-27,2026-01-27 11:00:00,11,9_16,67.40324,244.008,29,0.3137931034482759
realtime,rt916,2026-01-27,2026-01-27,2026-01-27 10:00:00,10,9_16,108.043304,276.831,29,0.3137931034482759
realtime,rt916,2026-01-27,2026-01-27,2026-01-27 21:00:00,21,17_24,420.67505,375.904,29,0.3137931034482759
realtime,rt916,2026-01-27,2026-01-27,2026-01-27 08:00:00,8,1_8,287.12207,362.605,29,0.3137931034482759
realtime,rt916,2026-01-27,2026-01-27,2026-01-27 06:00:00,6,1_8,293.97858,325.141,29,0.3137931034482759
realtime,rt916,2026-01-27,2026-01-27,2026-01-27 09:00:00,9,9_16,233.92204,461.351,29,0.3137931034482759
realtime,rt916,2026-01-27,2026-01-27,2026-01-27 05:00:00,5,1_8,285.01138,328.237,29,0.3137931034482759
realtime,rt916,2026-01-27,2026-01-27,2026-01-27 04:00:00,4,1_8,290.70184,328.429,29,0.3137931034482759
realtime,rt916,2026-01-27,2026-01-27,2026-01-27 03:00:00,3,1_8,323.2897,331.928,29,0.3137931034482759
realtime,rt916,2026-01-27,2026-01-27,2026-01-27 02:00:00,2,1_8,305.1682,322.468,29,0.3137931034482759
realtime,rt916,2026-01-27,2026-01-27,2026-01-27 01:00:00,1,1_8,336.50153,327.456,29,0.3137931034482759
realtime,sgdfnet,2026-01-27,2026-01-27,2026-01-27 23:00:00,23,17_24,395.50683043126446,339.641,29,0.3137931034482759
realtime,rt916,2026-01-27,2026-01-27,2026-01-27 14:00:00,14,9_16,122.2397,259.493,29,0.3137931034482759
realtime,rt916,2026-01-27,2026-01-27,2026-01-27 12:00:00,12,9_16,48.99882,103.769,29,0.3137931034482759
realtime,rt916,2026-01-27,2026-01-27,2026-01-27 07:00:00,7,1_8,314.74982,324.288,29,0.3137931034482759
realtime,rt916,2026-01-27,2026-01-27,2026-01-27 23:00:00,23,17_24,400.545,339.641,29,0.3137931034482759
realtime,sgdfnet,2026-01-27,2026-01-27,2026-01-27 20:00:00,20,17_24,425.0682474444856,382.194,29,0.3137931034482759
realtime,sgdfnet,2026-01-27,2026-01-27,2026-01-27 19:00:00,19,17_24,442.8887825273379,369.22,29,0.3137931034482759
realtime,sgdfnet,2026-01-27,2026-01-27,2026-01-27 18:00:00,18,17_24,425.050018959766,362.823,29,0.3137931034482759
realtime,sgdfnet,2026-01-27,2026-01-27,2026-01-27 17:00:00,17,17_24,427.9302863618816,396.675,29,0.3137931034482759
realtime,sgdfnet,2026-01-27,2026-01-27,2026-01-27 16:00:00,16,9_16,315.1304608079065,355.313,29,0.3137931034482759
realtime,sgdfnet,2026-01-27,2026-01-27,2026-01-27 15:00:00,15,9_16,112.67294703309844,293.262,29,0.3137931034482759
realtime,sgdfnet,2026-01-27,2026-01-27,2026-01-27 14:00:00,14,9_16,-23.062040831857068,259.493,29,0.3137931034482759
realtime,sgdfnet,2026-01-27,2026-01-27,2026-01-27 13:00:00,13,9_16,-97.45941430921866,-6.38,29,0.3137931034482759
realtime,sgdfnet,2026-01-27,2026-01-27,2026-01-27 12:00:00,12,9_16,-66.88924615776257,103.769,29,0.3137931034482759
realtime,sgdfnet,2026-01-27,2026-01-27,2026-01-27 11:00:00,11,9_16,117.60940802667191,244.008,29,0.3137931034482759
realtime,sgdfnet,2026-01-27,2026-01-27,2026-01-28 00:00:00,24,17_24,391.10550452135504,328.505,29,0.3137931034482759
realtime,sgdfnet,2026-01-27,2026-01-27,2026-01-27 01:00:00,1,1_8,370.02982117704,327.456,29,0.3137931034482759
realtime,sgdfnet,2026-01-27,2026-01-27,2026-01-27 21:00:00,21,17_24,422.3828445881461,375.904,29,0.3137931034482759
realtime,sgdfnet,2026-01-27,2026-01-27,2026-01-27 02:00:00,2,1_8,358.10579207222844,322.468,29,0.3137931034482759
realtime,sgdfnet,2026-01-27,2026-01-27,2026-01-27 03:00:00,3,1_8,371.563135676008,331.928,29,0.3137931034482759
realtime,sgdfnet,2026-01-27,2026-01-27,2026-01-27 04:00:00,4,1_8,378.56358097773466,328.429,29,0.3137931034482759
realtime,sgdfnet,2026-01-27,2026-01-27,2026-01-27 22:00:00,22,17_24,405.60447947449217,368.057,29,0.3137931034482759
realtime,sgdfnet,2026-01-27,2026-01-27,2026-01-27 06:00:00,6,1_8,355.51345559853166,325.141,29,0.3137931034482759
realtime,sgdfnet,2026-01-27,2026-01-27,2026-01-27 07:00:00,7,1_8,363.6524729839718,324.288,29,0.3137931034482759
realtime,sgdfnet,2026-01-27,2026-01-27,2026-01-27 08:00:00,8,1_8,385.2179174190286,362.605,29,0.3137931034482759
realtime,sgdfnet,2026-01-27,2026-01-27,2026-01-27 09:00:00,9,9_16,408.1060518871863,461.351,29,0.3137931034482759
realtime,sgdfnet,2026-01-27,2026-01-27,2026-01-27 05:00:00,5,1_8,358.3430112770624,328.237,29,0.3137931034482759
realtime,timemixer,2026-01-28,2026-01-28,2026-01-28 22:00:00,22,17_24,409.4909973144531,350.397,28,0.3275862068965517
realtime,timemixer,2026-01-28,2026-01-28,2026-01-29 00:00:00,24,17_24,390.2990112304688,328.687,28,0.3275862068965517
realtime,timemixer,2026-01-28,2026-01-28,2026-01-28 16:00:00,16,9_16,225.64244079589844,349.929,28,0.3275862068965517
realtime,timemixer,2026-01-28,2026-01-28,2026-01-28 17:00:00,17,17_24,383.210205078125,366.493,28,0.3275862068965517
realtime,timemixer,2026-01-28,2026-01-28,2026-01-28 18:00:00,18,17_24,422.2525329589844,350.387,28,0.3275862068965517
realtime,timemixer,2026-01-28,2026-01-28,2026-01-28 23:00:00,23,17_24,391.07513427734375,335.955,28,0.3275862068965517
realtime,timemixer,2026-01-28,2026-01-28,2026-01-28 20:00:00,20,17_24,441.1658325195313,355.044,28,0.3275862068965517
realtime,timemixer,2026-01-28,2026-01-28,2026-01-28 21:00:00,21,17_24,429.4147033691406,347.462,28,0.3275862068965517
realtime,timemixer,2026-01-28,2026-01-28,2026-01-28 15:00:00,15,9_16,46.39913940429688,322.207,28,0.3275862068965517
realtime,timemixer,2026-01-28,2026-01-28,2026-01-28 10:00:00,10,9_16,62.13266754150391,328.581,28,0.3275862068965517
realtime,timemixer,2026-01-28,2026-01-28,2026-01-28 14:00:00,14,9_16,39.18193054199219,305.702,28,0.3275862068965517
realtime,timemixer,2026-01-28,2026-01-28,2026-01-28 08:00:00,8,1_8,327.9783020019531,327.586,28,0.3275862068965517
realtime,timemixer,2026-01-28,2026-01-28,2026-01-28 11:00:00,11,9_16,32.4764289855957,317.725,28,0.3275862068965517
realtime,timesfm,2026-01-28,2026-01-28,2026-01-28 01:00:00,1,1_8,283.2596,307.809,28,0.3275862068965517
realtime,timemixer,2026-01-28,2026-01-28,2026-01-28 09:00:00,9,9_16,251.3817749023437,360.272,28,0.3275862068965517
realtime,timemixer,2026-01-28,2026-01-28,2026-01-28 07:00:00,7,1_8,338.78076171875,302.427,28,0.3275862068965517
realtime,timemixer,2026-01-28,2026-01-28,2026-01-28 06:00:00,6,1_8,316.1509094238281,303.19,28,0.3275862068965517
realtime,timemixer,2026-01-28,2026-01-28,2026-01-28 05:00:00,5,1_8,304.2485656738281,302.857,28,0.3275862068965517
realtime,timemixer,2026-01-28,2026-01-28,2026-01-28 04:00:00,4,1_8,296.3251037597656,299.844,28,0.3275862068965517
realtime,timemixer,2026-01-28,2026-01-28,2026-01-28 03:00:00,3,1_8,329.42108154296875,307.591,28,0.3275862068965517
realtime,timemixer,2026-01-28,2026-01-28,2026-01-28 19:00:00,19,17_24,451.67864990234375,355.658,28,0.3275862068965517
realtime,timemixer,2026-01-28,2026-01-28,2026-01-28 02:00:00,2,1_8,321.0165405273437,300.599,28,0.3275862068965517
realtime,timesfm,2026-01-28,2026-01-28,2026-01-28 06:00:00,6,1_8,283.10583,303.19,28,0.3275862068965517
realtime,timesfm,2026-01-28,2026-01-28,2026-01-29 00:00:00,24,17_24,360.2935,328.687,28,0.3275862068965517
realtime,timemixer,2026-01-28,2026-01-28,2026-01-28 13:00:00,13,9_16,17.74895477294922,264.582,28,0.3275862068965517
realtime,timesfm,2026-01-28,2026-01-28,2026-01-28 23:00:00,23,17_24,372.05313,335.955,28,0.3275862068965517
realtime,timesfm,2026-01-28,2026-01-28,2026-01-28 22:00:00,22,17_24,389.87827,350.397,28,0.3275862068965517
realtime,timesfm,2026-01-28,2026-01-28,2026-01-28 21:00:00,21,17_24,400.73438,347.462,28,0.3275862068965517
realtime,timesfm,2026-01-28,2026-01-28,2026-01-28 20:00:00,20,17_24,398.95322,355.044,28,0.3275862068965517
realtime,timesfm,2026-01-28,2026-01-28,2026-01-28 19:00:00,19,17_24,415.79205,355.658,28,0.3275862068965517
realtime,timesfm,2026-01-28,2026-01-28,2026-01-28 18:00:00,18,17_24,442.2593,350.387,28,0.3275862068965517
realtime,timesfm,2026-01-28,2026-01-28,2026-01-28 17:00:00,17,17_24,420.85538,366.493,28,0.3275862068965517
