date,applied,rollbacks,caps,fp,fn_neg,fn_spk,orig_smape,corr_smape,delta
2025-12-24,2,24,0,0,0,0,34.399084332055246,24.132637985240258,10.2664
2025-12-25,5,24,0,0,0,0,38.715334644812756,37.53639289063592,1.1789
2025-12-26,0,24,0,0,0,0,38.31389904277993,38.31389904277993,0.0
2025-12-27,3,24,0,2,0,0,26.169032252067463,26.656951286864167,-0.4879
2025-12-28,5,24,0,0,0,0,21.169784686047564,15.927341370405381,5.2424
2025-12-29,0,24,0,0,0,0,42.41634291293617,42.41634291293617,0.0
2025-12-30,0,24,0,0,0,0,38.479998832146805,38.479998832146805,0.0
2025-12-31,0,24,0,0,0,0,59.8131713413584,59.8131713413584,0.0
2026-01-01,5,24,0,1,5,1,70.88845479414549,66.97422595767397,3.9142
2026-01-02,5,24,0,0,0,0,26.46772987171497,17.211828343042654,9.2559
2026-01-03,3,24,0,2,7,0,85.34625922066711,89.18341459897479,-3.8372
2026-01-04,0,24,0,0,0,0,8.32514328188739,8.32514328188739,0.0
2026-01-05,0,24,0,0,0,0,39.54422293847209,39.54422293847209,0.0
2026-01-06,2,24,0,2,0,0,28.240808882218122,30.32266150039452,-2.0819
2026-01-07,4,24,0,0,0,0,59.385498511217946,47.02082268696117,12.3647
2026-01-08,4,24,0,0,1,0,68.97042788033269,65.867673159844,3.1028
2026-01-09,6,24,0,1,0,2,86.99868829932328,82.73385912888462,4.2648
2026-01-10,6,24,0,0,0,0,48.83205713789337,42.1074300541328,6.7246
2026-01-11,10,24,0,0,0,1,43.607829421992115,32.621928274364386,10.9859
2026-01-12,13,24,0,1,1,0,38.046871487070646,24.212429216845536,13.8344
2026-01-13,5,24,0,2,0,0,47.41332066812333,47.267828818130624,0.1455
2026-01-14,0,24,0,0,0,0,14.669308477304227,14.669308477304227,0.0
2026-01-15,5,24,0,0,1,0,59.37170522062007,53.21129824745745,6.1604
2026-01-16,7,24,0,3,1,0,141.81411377086633,139.8080329281399,2.0061
2026-01-17,11,24,0,5,0,0,84.2164943213696,86.01115762599375,-1.7947
2026-01-18,0,24,0,0,0,1,48.09738091845762,48.09738091845762,0.0
2026-01-19,0,24,0,0,0,2,68.29472690482092,68.29472690482092,0.0
2026-01-20,1,24,0,1,0,0,25.89833780301652,29.423727852907295,-3.5254
2026-01-21,4,24,0,3,0,0,29.07813381997673,28.720925161089667,0.3572
2026-01-22,3,24,0,1,0,0,32.07273302150917,25.991986611331196,6.0807
2026-01-23,3,24,0,2,0,0,27.992256443214096,27.261748365774423,0.7305
2026-01-24,3,24,0,1,0,0,23.62202770069365,23.35746731280807,0.2646
2026-01-25,0,24,0,0,5,0,58.13300219775124,58.13300219775124,0.0
2026-01-26,0,24,0,0,0,5,29.02902154844754,29.02902154844754,0.0
2026-01-27,5,24,0,3,0,0,30.52506422904651,33.93370473542124,-3.4086
2026-01-28,1,24,0,1,0,0,19.92988888117161,20.77970791452976,-0.8498
2026-01-29,4,24,0,4,0,0,7.177426091573995,10.034993614573702,-2.8576
2026-01-30,1,24,0,1,1,0,33.951149953221744,34.15921787063911,-0.2081
2026-01-31,0,24,0,0,0,0,15.131541096626242,15.131541096626242,0.0
2026-02-01,0,24,0,0,0,0,47.54573082560741,47.54573082560741,0.0
2026-02-02,0,24,0,0,1,0,42.62415615201003,42.62415615201003,0.0
2026-02-03,0,24,0,0,0,0,42.93147914949028,42.93147914949028,0.0
2026-02-04,0,24,0,0,1,2,74.01566965854256,74.01566965854256,0.0
2026-02-05,0,24,0,0,0,1,61.429985636772344,61.429985636772344,0.0
2026-02-06,3,24,0,3,0,0,63.58457374137972,65.80793129863673,-2.2234
2026-02-07,0,24,0,0,0,0,38.317348599620246,38.317348599620246,0.0
2026-02-08,4,24,0,0,0,0,32.24140923870929,25.759800360187736,6.4816
2026-02-09,5,24,0,0,0,0,92.49292833575188,77.85208421308721,14.6408
2026-02-10,2,24,0,2,0,0,27.444401239127924,29.756178143394575,-2.3118
2026-02-11,6,24,0,0,0,0,30.44846056085771,17.567987795006534,12.8805
2026-02-12,8,24,0,0,1,0,54.9066523050916,40.499334494078454,14.4073
2026-02-13,7,24,0,0,0,0,18.07455955409811,10.977371055565817,7.0972
2026-02-14,8,24,0,0,6,0,78.2119859261308,67.22168023763513,10.9903
2026-02-15,8,24,0,0,0,0,50.867126521621095,39.19489098464382,11.6722
2026-02-16,9,24,0,1,0,0,34.45154127577758,16.375774569483156,18.0758
2026-02-17,8,24,0,0,1,0,48.80868795848769,32.74846915795551,16.0602
2026-02-18,8,24,0,0,6,0,73.55156739111025,55.869998946352304,17.6816
2026-02-19,8,24,0,0,2,0,70.43314570485428,56.55585795170822,13.8773
2026-02-20,8,24,0,0,0,0,77.9870696648187,61.08269747525458,16.9044
2026-02-21,15,24,0,0,0,0,89.61973576177047,36.26943491680426,53.3503
2026-02-22,14,24,0,0,1,0,73.78207951158865,29.464895653812306,44.3172
2026-02-23,0,24,0,0,2,0,49.568015637388044,49.568015637388044,0.0
2026-02-24,3,24,0,3,0,0,45.89579811618705,46.52250088301641,-0.6267
2026-02-25,6,24,0,1,0,0,34.60029506620092,20.42363320316424,14.1767
2026-02-26,0,24,0,0,0,0,173.25510456599866,173.25510456599866,0.0
2026-02-27,0,24,0,0,3,0,164.8810977629593,164.8810977629593,0.0
2026-02-28,0,24,0,0,2,0,155.66376206190455,155.66376206190455,0.0
